Time,Agent1_EnemyPos,Agent1_Fuel,Agent1_Altitude,Agent1_State,Agent2_EnemyPos,Agent2_Fuel,Agent2_Altitude,Agent2_State
27,0.9994,0.0498,0.1353,Targeting,0.2230,0.9994,0.1353,Patrol
28,0.6062,0.0302,0.9994,Targeting,0.1353,0.6062,0.9994,Patrol
29,0.9994,0.0183,0.6062,Targeting,0.9994,0.3677,0.6062,Targeting
30,0.6062,0.9994,0.3677,Targeting,0.9994,0.2230,0.3677,Targeting
31,0.9994,0.6062,0.2230,Targeting,0.6062,0.1353,0.9994,Targeting
32,0.6062,0.3677,0.9994,Targeting,0.9994,0.0820,0.6062,Targeting
33,0.9994,0.2230,0.6062,Targeting,0.9994,0.0498,0.3677,Targeting
34,0.6062,0.1353,0.9994,Targeting,0.9994,0.0302,0.2230,Targeting
35,0.9994,0.0820,0.6062,Targeting,0.6062,0.9994,0.1353,Targeting
36,0.6062,0.0498,0.9994,Targeting,0.9994,0.6062,0.0820,Targeting
37,0.9994,0.0302,0.6062,Targeting,0.9994,0.3677,0.0498,Targeting
38,0.9994,0.0183,0.3677,Targeting,0.6062,0.9994,0.0302,Targeting
39,0.9994,0.0111,0.2230,Targeting,0.3677,0.6062,0.9994,Targeting
40,0.9994,0.0067,0.1353,Engage-Closing,0.2230,0.3677,0.9994,Targeting
41,0.9994,0.0041,0.0820,Targeting,0.9994,0.2230,0.6062,Targeting
42,0.6062,0.0025,0.9994,Engage-Closing,0.9994,0.1353,0.3677,Targeting
43,0.9994,0.0015,0.6062,Targeting,0.9994,0.0820,0.2230,Targeting
44,0.9994,0.0009,0.3677,Targeting,0.9994,0.0498,0.1353,Targeting
45,0.9994,0.0006,0.2230,Engage-Closing,0.6062,0.0302,0.9994,Engage-Closing
46,0.9994,0.0003,0.1353,Engage-Closing,0.3677,0.0183,0.9994,Engage-Closing
47,0.9994,0.0002,0.0820,Engage-Closing,0.9994,0.0111,0.6062,Engage-Closing
48,0.9994,0.0001,0.0498,Engage-Closing,0.9994,0.0067,0.3677,Engage-Closing
49,0.9994,0.0001,0.0302,Engage-Closing,0.9994,0.0041,0.2230,Engage-Closing
50,0.6062,0.0000,0.9994,Engage-Closing,0.9994,0.0025,0.1353,Engage-Closing
51,0.3677,0.0000,0.9994,Engage-Closing,0.9994,0.0015,0.0820,Engage-Closing
52,0.2230,0.0000,0.9994,Engage-Closing,0.9994,0.0009,0.0498,Engage-Closing
53,0.9994,0.0000,0.6062,Engage-Closing,0.9994,0.0006,0.0302,Engage-Closing
54,0.9994,0.0000,0.3677,Engage-Firing,0.9994,0.0003,0.0183,Engage-Closing
55,0.9994,0.0000,0.2230,Engage-Closing,0.6062,0.9994,0.0111,Engage-Closing
56,0.9994,0.0000,0.1353,Engage-Closing,0.9994,0.6062,0.0067,Engage-Closing
57,0.9994,0.0000,0.0820,Engage-Firing,0.6062,0.3677,0.9994,Engage-Closing
58,0.6062,0.9994,0.0498,Engage-Closing,0.9994,0.2230,0.6062,Engage-Firing
59,0.9994,0.6062,0.0302,Engage-Firing,0.6062,0.1353,0.9994,Engage-Firing
60,0.9994,0.3677,0.0183,Engage-Firing,0.9994,0.0820,0.6062,Engage-Firing
61,0.9994,0.2230,0.0111,Engage-Firing,0.9994,0.0498,0.3677,Engage-Firing
62,0.9994,0.1353,0.0067,Engage-Firing,0.6062,0.0302,0.9994,Engage-Firing
63,0.9994,0.0820,0.0041,Engage-Firing,0.9994,0.0183,0.6062,Engage-Firing
64,0.9994,0.0498,0.0025,Engage-Firing,0.9994,0.0111,0.3677,Engage-Firing
65,0.9994,0.0302,0.0015,Engage-Firing,0.9994,0.0067,0.2230,Engage-Firing
66,0.9994,0.0183,0.0009,Engage-Firing,0.9994,0.0041,0.1353,Engage-Firing
67,0.9994,0.0111,0.0006,Engage-Firing,0.9994,0.0025,0.0820,Engage-Firing
